Player,FGM,FG Att,Blk,XPM,XPA,XP_Blk,1-19_A,1-19_M,20-29_A,20-29_M,30-39_A,30-39_M,40-49_A,40-49_M,50+_A,50+_M,PSs,Lng,Team
Cedric Oglesby,5,6,0,7,7,0,1,1,2,2,2,1,1,1,0,0,1,41,ARI
Tim Duncan,6,10,0,5,6,0,0,0,2,2,4,2,2,1,2,1,1,53,ARI
Bill Gramatica,37,48,0,60,61,0,1,1,17,16,9,8,15,10,6,2,4,50,ARI
Chandler Catanzaro,108,127,2,159,169,1,3,3,30,29,36,33,43,34,15,9,5,60,ARI
Todd Peterson,235,296,6,338,341,3,5,5,84,76,95,79,89,65,23,10,12,54,ARI
Nick Novak,177,215,4,241,248,2,5,5,57,57,66,56,56,42,31,17,10,53,ARI
Rich Camarillo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ARI
Chris Miller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,ATL
Ken Vinyard,9,25,0,23,26,0,0,0,0,0,0,0,0,0,0,0,1,0,ATL
Lou Kirouac,9,18,0,19,24,0,0,0,0,0,0,0,0,0,0,0,1,0,ATL
Rick Donnelly,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ATL
Bob Etter,26,51,0,50,52,0,0,0,0,0,0,0,0,0,0,0,2,0,ATL
Jamal Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,ATL
Wade Traynham,7,19,0,24,24,0,0,0,0,0,0,0,0,0,0,0,2,0,ATL
Michael Koenen,4,13,3,4,4,0,0,0,1,1,4,1,1,0,7,2,3,58,ATL
Tim Mazzetti,45,68,0,95,104,0,0,0,0,0,0,0,0,0,0,0,3,50,ATL
Mick Luckhurst,115,164,0,213,216,0,0,0,0,0,0,0,0,0,0,0,7,52,ATL
Jay Feely,332,402,8,449,452,3,2,2,108,102,138,119,122,91,32,18,14,61,ATL
Nick Mike-Mayer,108,185,0,219,227,0,0,0,0,0,0,0,0,0,0,0,10,49,ATL
Greg Davis,201,292,9,267,270,1,2,2,72,62,46,39,67,37,27,10,12,55,ATL
Bill Bell,30,55,0,64,69,0,0,0,0,0,0,0,0,0,0,0,3,0,ATL
Boris Shlapak,0,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,BAL
Danny Miller,4,8,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,58,BAL
J.R. Jenkins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,BAL
Justin Tucker,265,292,5,298,301,0,0,0,69,69,81,79,87,78,55,39,8,61,BAL
Lou Michaels,81,149,0,181,188,0,0,0,0,0,0,0,0,0,0,0,5,0,BAL
Jim O'Brien,60,108,0,109,112,0,0,0,0,0,0,0,0,0,0,0,4,0,BAL
Stephen Hauschka,255,295,9,328,343,10,3,3,71,67,87,85,89,72,45,28,11,58,BAL
Raul Allegre,135,184,0,178,185,0,0,0,1,1,1,1,2,1,0,0,9,55,BAL
George Hunt,22,39,0,46,53,0,0,0,0,0,0,0,0,0,0,0,2,41,BAL
Brandon Coutu,0,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,BUF
Carson Long,7,11,0,13,14,0,0,0,0,0,0,0,0,0,0,0,1,45,BUF
George Jakowenko,12,17,0,21,24,0,0,0,0,0,0,0,0,0,0,0,1,49,BUF
Jake Arians,12,21,2,16,17,0,0,0,6,6,4,2,11,4,0,0,1,49,BUF
Todd Schlopy,2,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,31,BUF
Grant Guthrie,13,29,0,32,34,0,0,0,0,0,0,0,0,0,0,0,2,0,BUF
Scott Norwood,133,184,1,271,278,1,1,1,8,7,7,3,9,5,4,2,7,52,BUF
John Leypoldt,91,148,0,196,214,0,0,0,0,0,0,0,0,0,0,0,7,51,BUF
Shayne Graham,273,319,5,419,425,3,5,5,90,86,104,96,88,69,32,17,15,54,BUF
